beacon_id,zone_name,zone_status,zone_id,station_id,clock,sub_station_id,direction,height_inches,pole_type,power_feed,mount_location,power_source,atd_location_id,created_date,created_by,modified_date,modified_by,am_start,am_end,pm_start,pm_end,pm_start_2,pm_end_2,location_name,location,latitude,longitude,unit_address,Source DB ID
7122-172-00,AUSTIN,Active,7122,172,TRUE,0,EB,,,,,AC,LOC17-007775,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,,,,,,,1700 BLK W 5TH ST,"(30.27512727, -97.76533612)",30.27512727,-97.76533612,,
7505-276-00,WESTLAKE,Active,7505,276,TRUE,0,WB,113,4_IN,UG,,AC,LOC17-009095,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492066800,1492074000,1492082100,1492090200,1492095300,1492102500,1310 BLK WESTBANK DR,"(30.27478447, -97.81376312)",30.27478447,-97.81376312,,
7111-150-01,OAK SPRINGS,Active,7111,150,FALSE,1,SB,86,2_IN,OH,,AC,LOC17-009415,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492065900,1492070400,1492093800,1492097400,,,3600 BLK WEBBERVILLE RD,"(30.27217905, -97.70513093)",30.27217905,-97.70513093,,
7405-012-00,"WESTVIEW, PARMER",Active,7405,12,TRUE,0,EB,113,4_IN,UG,,AC,LOC17-008960,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492066800,1492071600,1492093800,1492099200,,,1905 BLK W PARMER LN,"(30.41470146, -97.69399355)",30.41470146,-97.69399355,,
7304-176-00,TRAVIS HEIGHTS,Active,7304,176,TRUE,0,EB,94.5,4_IN,OH,,AC,LOC17-007800,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492065000,1492072200,1492093800,1492100100,,,500 BLK E ANNIE ST,"(30.24469689, -97.74611476)",30.24469689,-97.74611476,,
7103-130-01,MARTIN,Active,7103,130,FALSE,1,NB,91,4_IN,OH,,AC,LOC17-009310,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492066800,1492072200,1492093800,1492100100,,,1 BLK COMAL ST,"(30.25225479, -97.73146736)",30.25225479,-97.73146736,,
7415-042-00,PILLOW,Active,7415,42,TRUE,0,WB,85,2_IN,OH,,AC,LOC17-008745,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492066800,1492070400,1492092900,1492096500,,,3000 BLK CROSSCREEK DR,"(30.36901131, -97.73220328)",30.36901131,-97.73220328,,
7229-067-00,BLUEBONNET TRAIL,Active,7229,67,TRUE,0,NB,90,4_IN,,,SOLAR,LOC17-008570,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492066800,1492070400,1492093800,1492097400,,,11217 BLK HARRIS BRANCH PKWY,"(30.35187138, -97.61540911)",30.35187138,-97.61540911,,
7104-312-01,METZ,Active,7104,312,FALSE,1,SB,82,2_IN,OH,,AC,LOC17-009340,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492065900,1492070400,1492093800,1492097400,,,90 BLK ROBERT T MARTINEZ JR ST,"(30.25535419, -97.72097836)",30.25535419,-97.72097836,,
7512-232-00,MILLS,Active,7512,232,TRUE,0,WB,104,4_IN,,,SOLAR,LOC17-007805,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492066800,1492070400,1492092900,1492097400,,,6200 BLK DAVIS LN,"(30.21197109, -97.87811801)",30.21197109,-97.87811801,,
7516-289-03,WILLIAMS,Active,7516,289,FALSE,3,NB,,,OH,SP,AC,LOC17-010035,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492066800,1492070400,1492093800,1492097400,,,BLK,"(30.17987502, -97.79575096)",30.17987502,-97.79575096,,
7227-281-03,RIDGETOP,Active,7227,281,FALSE,3,SB,,,,,,LOC17-010260,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492065900,1492070400,1492093800,1492101000,,,BLK,"(30.31305975, -97.71540547)",30.31305975,-97.71540547,,
7105-140-02,ORTEGA,Active,7105,140,FALSE,2,EB,,,,,,LOC17-010255,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492065900,1492070400,1492093800,1492097400,,,BLK,"(30.26944995, -97.68490557)",30.26944995,-97.68490557,,
