Signal ID,Location Name,Signal Type,Signal Status,ATD Location ID,COA Intersection ID,Control,Council District(s),Primary St,Cross St,Cross St Segment ID,Landmark,Primary Signal,Secondary Signal(s),Jurisdiction Label,Primary St Segment ID,Signal Eng. Area,Traffic Engineer Area,Turn On Date,Location,Cross St Block,Primary St Block,Signal PM Max Fiscal Year,Pedestrian Signal Type,Pedestrian Button Type,Bicycle Signal,Bus Stops,Source DB ID,IP Communication status,Comm Status Datetime,Owner,Detection status,Detection Status Date,Construction Note,Construction Note Date,Latitude,Longitude,Modified Date
479, PAYTON GIN RD / PARKFIELD DR,TRAFFIC,TURNED_ON,LOC16-002350,5160790,PRIMARY,4, PAYTON GIN RD, PARKFIELD DR,2010805,,,,AUSTIN FULL PURPOSE,2010772,NORTHWEST,,07/28/1976,"(30.3622036, -97.7101135)",8800,1300,2019,UNKNOWN,,false,,5817c08ee052e0422be6c7a2,OFFLINE,10/27/2018 08:25:00 AM +0000,COA,OK,06/26/2017 05:00:00 AM +0000,,,30.3622036,-97.7101135,07/01/2019 12:58:00 PM +0000
486, MEARNS MEADOW BLVD / RUTLAND DR,TRAFFIC,TURNED_ON,LOC16-002385,5161721,PRIMARY,4, MEARNS MEADOW BLVD, RUTLAND DR,2010586,,,,AUSTIN FULL PURPOSE,2010651,NORTHWEST,,04/27/1987,"(30.3670025, -97.7006302)",1001,1000,2017,COUNTDOWN,,false,"5772, 4836, 2582, 3149, 5773, 3150, 2581, 462",5817c08ee052e0422be6c7b0,ONLINE,06/10/2019 08:25:00 AM +0000,COA,OK,06/26/2017 05:00:00 AM +0000,,,30.3670025,-97.7006302,07/01/2019 12:48:00 PM +0000
436, METRIC BLVD / CEDAR BEND DR,TRAFFIC,TURNED_ON,LOC16-002140,5162014,PRIMARY,7, METRIC BLVD, CEDAR BEND DR,2006423,,,,AUSTIN FULL PURPOSE,2039288,NORTHWEST,,04/04/49473,"(30.4082737, -97.6969833)",1913,12200,2018,WALK/DONT WALK,APS,False,,5817c08be052e0422be6c74e,ONLINE,06/24/51209 04:40:00 PM +0000,COA,OK,11/20/49979 12:00:00 AM +0000,,,30.4082737,-97.6969833,06/14/51514 04:40:00 AM +0000
432, BRODIE LN / SLAUGHTER LN,TRAFFIC,TURNED_ON,LOC16-002120,5146294,PRIMARY,"5,8", BRODIE LN, SLAUGHTER LN,2025841,,,,AUSTIN FULL PURPOSE,2026125,SOUTHWEST,,02/12/20695,"(30.1835499, -97.8497925)",3500,10000,2019,WALK/DONT WALK,,False,,5817c08be052e0422be6c746,ONLINE,12/07/51132 08:40:00 AM +0000,COA,OK,09/18/49426 08:00:00 AM +0000,,,30.1835499,-97.8497925,05/17/51623 05:20:00 AM +0000
969,2901 BLK S LAKELINE BLVD,TRAFFIC,TURNED_ON,LOC16-004735,,PRIMARY,6, LAKELINE BLVD,  ,,,,,AUSTIN FULL PURPOSE,2038006,NORTHWEST,,08/28/46012,"(30.4778824, -97.8057327)",,2901,2017,COUNTDOWN,APS,False,,5817c0cce052e0422be6cbe8,ONLINE,05/25/50971 08:40:00 AM +0000,COA,OK,03/29/51458 08:00:00 AM +0000,,,30.4778824,-97.8057327,04/07/51645 06:00:00 PM +0000
214, ENFIELD RD / WEST LYNN ST,TRAFFIC,TURNED_ON,LOC16-001050,5154815,PRIMARY,9, ENFIELD RD, WEST LYNN ST,2020655,,,,AUSTIN FULL PURPOSE,2020656,CENTRAL,,01/05/16448,"(30.282774, -97.7578201)",1500,1600,2019,WALK/DONT WALK,,False,,5817c082e052e0422be6c59a,ONLINE,10/09/49748 04:40:00 AM +0000,COA,OK,09/18/49426 08:00:00 AM +0000,,,30.282774,-97.7578201,09/28/51655 10:40:00 AM +0000
392, PLEASANT VALLEY RD / RIVERSIDE DR,TRAFFIC,TURNED_ON,LOC16-001920,5159771,PRIMARY,3, PLEASANT VALLEY RD, RIVERSIDE DR,2022774,,,391:  PLEASANT VALLEY RD / RIVERSIDE DR,AUSTIN FULL PURPOSE,2022773,SOUTHWEST,,12/02/13124,"(30.2341137, -97.7228088)",2512,1950,2018,COUNTDOWN,APS,False,"1005, 4288, 5779, 1029, 1006, 3526, 5194, 5079, 1012, 1022",5b5c435b97428f168b0e86cc,ONLINE,10/10/49748 02:00:00 PM +0000,COA,OK,12/06/51471 08:00:00 AM +0000,,,30.2341137,-97.7228088,03/13/51659 10:40:00 PM +0000
802, JOHNNY MORRIS RD / 290 HWY SVRD,TRAFFIC,TURNED_ON,LOC16-003945,5363145,PRIMARY,1, JOHNNY MORRIS RD,US 290 HWY SVRD,5082099,,,989: US 290 HWY SVRD / GILES LN,AUSTIN FULL PURPOSE,2040355,NORTHEAST,,12/06/25064,"(30.3308048, -97.6233521)",9611,9500,2019,COUNTDOWN,APS,False,,5817c0ace052e0422be6ca4d,ONLINE,07/22/49777 09:20:00 AM +0000,TxDOT,OK,11/17/49445 08:00:00 AM +0000,,,30.3308048,-97.6233521,03/16/51659 12:40:00 AM +0000
67, RED RIVER ST / 32ND ST,TRAFFIC,TURNED_ON,LOC16-000330,5159140,PRIMARY,9, RED RIVER ST, 32ND ST,2017255,,,,AUSTIN FULL PURPOSE,2017191,CENTRAL,,06/12/11701,"(30.2910519, -97.72715)",902,3100,2018,COUNTDOWN,,False,,5817c07ce052e0422be6c47a,ONLINE,10/07/49748 02:40:00 AM +0000,COA,BROKEN,05/03/51436 08:00:00 AM +0000,,,30.2910519,-97.72715,07/11/51689 12:40:00 AM +0000
858, CAPITAL OF TEXAS HWY / RESEARCH BLVD SVRD,TRAFFIC,TURNED_ON,LOC16-004220,5156241,SECONDARY,7, CAPITAL OF TEXAS HWY, RESEARCH BLVD SVRD,2012457,,857:  CAPITAL OF TEXAS HWY / RESEARCH BLVD SVRD,,AUSTIN FULL PURPOSE,2012459,NORTHWEST,,05/27/36309,"(30.3897934, -97.7443008)",9700,9550,2019,COUNTDOWN,,False,,5817c0b5e052e0422be6cad0,ONLINE,09/25/51321 04:40:00 PM +0000,TxDOT,BROKEN,05/31/51362 08:00:00 AM +0000,,,30.3897934,-97.7443008,11/13/51697 06:00:00 AM +0000
