,Time,icon1,pcpt_lat1long1,visibility1,lat1,long11,icon2,pcpt_lat1long2,visibility2,lat2,long12,icon3,pcpt_lat1long3,visibility3,lat3,long13,icon4,pcpt_lat2long1,visibility4,lat4,long21,icon5,pcpt_lat2long2,visibility5,lat5,long22,icon6,pcpt_lat2long3,visibility6,lat6,long23
0,2017-09-26 00:00:00,clear-night,0,9.997,30.434,-96.442,clear-night,0,9.997,30.434,-96.109,clear-night,0,9.997,30.434,-95.776,clear-night,0,9.997,30.863,-96.442,clear-night,0,9.997,30.863,-96.109,clear-night,0,5,30.863,-95.776
1,2017-09-26 01:00:00,clear-night,0,9.997,30.434,-96.442,clear-night,0,9.997,30.434,-96.109,clear-night,0,9.997,30.434,-95.776,clear-night,0,9.997,30.863,-96.442,clear-night,0,9.997,30.863,-96.109,clear-night,0,9.997,30.863,-95.776
2,2017-09-26 02:00:00,clear-night,0,9.997,30.434,-96.442,clear-night,0,9.997,30.434,-96.109,clear-night,0,9.997,30.434,-95.776,clear-night,0,9.997,30.863,-96.442,clear-night,0,9.997,30.863,-96.109,clear-night,0,9.997,30.863,-95.776
3,2017-09-26 03:00:00,clear-night,0,7.002,30.434,-96.442,clear-night,0,8.729,30.434,-96.109,clear-night,0,9.997,30.434,-95.776,clear-night,0,9.997,30.863,-96.442,clear-night,0,9.997,30.863,-96.109,clear-night,0,9.997,30.863,-95.776
4,2017-09-26 04:00:00,clear-night,0,7.002,30.434,-96.442,clear-night,0,7.035,30.434,-96.109,clear-night,0,9.997,30.434,-95.776,clear-night,0,9.997,30.863,-96.442,clear-night,0,9.997,30.863,-96.109,clear-night,0,9.997,30.863,-95.776
5,2017-09-26 05:00:00,clear-night,0,7.002,30.434,-96.442,clear-night,0,7.457,30.434,-96.109,clear-night,0,6.001,30.434,-95.776,clear-night,0,7.002,30.863,-96.442,clear-night,0,9.105,30.863,-96.109,clear-night,0,9.997,30.863,-95.776
6,2017-09-26 06:00:00,clear-night,0,7.002,30.434,-96.442,clear-night,0,8.729,30.434,-96.109,clear-night,0,8.633,30.434,-95.776,clear-night,0,9.997,30.863,-96.442,clear-night,0,9.997,30.863,-96.109,clear-night,0,8.996,30.863,-95.776
7,2017-09-26 07:00:00,clear-night,0,7.002,30.434,-96.442,clear-night,0,8.729,30.434,-96.109,partly-cloudy-night,0,3.536,30.434,-95.776,clear-night,0,9.997,30.863,-96.442,clear-night,0,9.997,30.863,-96.109,fog,0,0.998,30.863,-95.776
8,2017-09-26 08:00:00,clear-day,0,6.052,30.434,-96.442,clear-day,0,7.002,30.434,-96.109,clear-day,0,7.995,30.434,-95.776,clear-day,0,9.262,30.863,-96.442,clear-day,0,9.997,30.863,-96.109,cloudy,0,5,30.863,-95.776
9,2017-09-26 09:00:00,clear-day,0,9.997,30.434,-96.442,clear-day,0,9.997,30.434,-96.109,clear-day,0,9.997,30.434,-95.776,clear-day,0,9.997,30.863,-96.442,clear-day,0,9.997,30.863,-96.109,partly-cloudy-day,0,9.997,30.863,-95.776
10,2017-09-26 10:00:00,partly-cloudy-day,0,9.997,30.434,-96.442,partly-cloudy-day,0,9.997,30.434,-96.109,clear-day,0,9.997,30.434,-95.776,partly-cloudy-day,0,9.997,30.863,-96.442,partly-cloudy-day,0,9.997,30.863,-96.109,clear-day,0,9.997,30.863,-95.776
11,2017-09-26 11:00:00,partly-cloudy-day,0,9.997,30.434,-96.442,partly-cloudy-day,0,9.997,30.434,-96.109,partly-cloudy-day,0,9.997,30.434,-95.776,partly-cloudy-day,0,9.997,30.863,-96.442,partly-cloudy-day,0,9.997,30.863,-96.109,partly-cloudy-day,0,9.997,30.863,-95.776
12,2017-09-26 12:00:00,partly-cloudy-day,0,9.997,30.434,-96.442,partly-cloudy-day,0,9.997,30.434,-96.109,partly-cloudy-day,0,9.997,30.434,-95.776,partly-cloudy-day,0,9.997,30.863,-96.442,partly-cloudy-day,0,9.997,30.863,-96.109,partly-cloudy-day,0,9.997,30.863,-95.776
